Sequência;Data oficial;Objeto;Destinos;Cidades;Pastas;Órgão;Situação;Liderança;Valor total;Valor liberado
2864;18/11/2025;Solicitação de destinação de Emenda Parlamentar - Custeio R$ 200.000,00/ Investimento: R$ 500.000,00;Irmandade Evangélica Betânia;Curitiba;Emendas 2026/2027;;Recebida;;R$ 700.000,00;R$ 0,00
2863;18/11/2025;Emenda Parlamentar;Hospital Maternidade Alto Maracanã;Colombo;Emendas 2026/2027;;Recebida;;R$ 100.000,00;R$ 0,00
2862;18/11/2025;Emenda Parlamentar para construção de uma quadra poliesportiva;Serviços de Obras Sociais de Cianorte;Cianorte;;;Recebida;;R$ 980.000,00;R$ 0,00
2861;18/11/2025;Solicitação de Emenda Parlamentar;UNILEHU - Universidade Livre para a Eficiência Humana;Curitiba;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2860;18/11/2025;Solicitação de Emenda á despesa;Hospital São Camilo;Ponta Grossa;Emendas 2026/2027;;Recebida;;R$ 30.000,00;R$ 0,00
2859;18/11/2025;Emenda Parlamentar - Para continuidade dos trabalhos em prol da pessoa com múltiplas deficiências;Complexo de Saúde - Pequeno Cotolengo;Curitiba;Emendas 2026/2027;;Recebida;;R$ 100.000,00;R$ 0,00
2857;18/11/2025;Emenda Parlamentar;Associação Kadiwéu;Piraquara;Emendas 2026/2027;;Recebida;;R$ 100.000,00;R$ 0,00
2856;18/11/2025;Emenda Parlamentar - Para aquisição de materiais permanentes;"Instituto Paranaense de Cegos ";Curitiba;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2855;18/11/2025;Solicitação de Emenda Parlamentar;Associação Beneficente - ABEF;Curitiba;Emendas 2026/2027;;Recebida;;R$ 100.000,00;R$ 0,00
2854;18/11/2025;Solicitação de Emenda Parlamentar 2025/2026 para 200 uniformes;"Instituto Afro-Indígena ";Campo Largo;;;Recebida;;R$ 0,00;R$ 0,00
2853;18/11/2025;Destinação de Emenda Parlamentar;Instituto Social Vó Durvina;Curitiba;Emendas 2026/2027;;Recebida;;R$ 160.000,00;R$ 0,00
2851;18/11/2025;Indicação de emenda parlamentar orçamentária individual;"Cruz Vermelha Brasileira ";Curitiba;Emendas 2026/2027;;Recebida;;R$ 1.000.000,00;R$ 0,00
2850;18/11/2025;Formalização de parceria de projetos em andamento da Associação Reviver Down - Emenda Parlamentar;"Reviver Down ";Curitiba;Emendas 2026/2027;;Recebida;;R$ 100.000,00;R$ 0,00
2849;18/11/2025;Emenda Parlamentar;APAS - Associação de Pais e Amigos de Surdos;Curitiba;;;Recebida;;R$ 60.000,00;R$ 0,00
2848;18/11/2025;Emenda Parlamentar - Para melhoria da estrutura / Aquisição de materiais;Associação de Pais e Amigos dos Excepcionais;Juranda;Emendas 2026/2027;;Recebida;;R$ 20.000,00;R$ 0,00
2847;18/11/2025;Aquisição de um veículo;Associação de Pais e Amigos dos Excepcionais;Guairaçá;Emendas 2026/2027;;Recebida;;R$ 150.000,00;R$ 0,00
2846;18/11/2025;Solicitação de Emenda Parlamentar para aquisição de Materiais Permanentes;SERPIÁ - Serviços e Programas para Infância e Adolescência;Pinhais;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2845;18/11/2025;Solicitação de Emenda Parlamentar;Associação de Pais e Amigos dos Excepcionais;Imbaú;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2842;18/11/2025;Emenda Parlamentar para adquirir cadeira de rodas;Associação de Pais e Amigos dos Excepcionais;Umuarama;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2841;18/11/2025;Emenda Parlamentar para aquisição de equipamentos;Associação de Pais e Amigos dos Excepcionais;Palmeira;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2840;18/11/2025;Emendas - Para continuidade na qualificação do atendimento prestado pela Instituição;Projeto Sonho Meu;Loanda;Emendas 2026/2027;;Recebida;;R$ 0,00;R$ 0,00
2838;17/11/2025;Emenda Parlamentar;Comunidade Terapêutica Vida Nova;Curitiba;Emendas 2026/2027;;Recebida;;R$ 50.000,00;R$ 0,00
2837;17/11/2025;Emenda Parlamentar - Via fundo Estadual dos Direitos da Pessoa com Deficiência;Associação de Pais e Amigos dos Excepcionais;São José dos Pinhais;Emendas 2026/2027;;Recebida;;R$ 100.000,00;R$ 0,00
2836;17/11/2025;Emenda Parlamentar - Melhoria para infraestrutura da APAS;Associação de Pais e Amigos de Surdos - APAS;Curitiba;Emendas 2026/2027;;Recebida;;R$ 60.000,00;R$ 0,00
2835;17/11/2025;Emenda Parlamentar - Equipamentos;Fundação Ecumênica de Proteção ao Excepcional - FEPE;Curitiba;;;Recebida;;R$ 0,00;R$ 0,00
2833;17/11/2025;Apoio á realização do Projeto Construindo Sonhos;Associação Assistencial e Promocional - Casa da Paz;Umuarama;Emendas 2026/2027;;Recebida;;R$ 1.160.000,00;R$ 0,00
2832;17/11/2025;Solicitação de destinação de Emenda Parlamentar para o Programa Proteger;"Proteger: Proteção dos Direitos da Criança e do Adolescente ";Paranaguá;Emendas 2026/2027;;Recebida;;R$ 500.000,00;R$ 0,00
2831;17/11/2025;Solicitação de Emenda Parlamentar - Fundo a Fundo -;"Ação Social São Vicente de Paulo ";Toledo;Emendas 2026/2027;;Recebida;;R$ 200.000,00;R$ 0,00
2830;17/11/2025;Emenda Parlamentar para manutenção e ampliação;Associação Beneficente Eduardo Filho - ABEF;Curitiba;Emendas 2026/2027;;Recebida;;R$ 200.000,00;R$ 0,00
