Sequência;Data oficial;Ofício (antigo);Título;Tipo;Órgão;Ofícios;Cidade;Situação;Criador
3069;08/04/2024;;Orientações - LOA 2024;3º Setor;Secretaria de Estado do Desenvolvimento Social e Família - SEDEF;;Barbosa Ferraz - PR;Atendida;Roberto Simoni Neto
3068;14/12/2023;;PRONAS - Captação, Orientação e Execução;3º Setor;Ministério da Saúde;;Candói - PR;Atendida;Roberto Simoni Neto
3067;15/09/2025;;MENÇÃO HONROSA AOS HOMENAGEADOS PELOS 30 ANOS DO HOSPITAL VITA.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3066;18/09/2025;;MENÇÃO HONROSA A SENHORA PATRÍCIA WALGER.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3065;09/09/2025;;MENÇÃO HONROSA AOS HOMENAGEADOS PELOS 30 ANOS DO HOSPITAL VITA.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3064;06/02/2026;;Veículo;1º Setor;;;Florestópolis - PR;Priorizar;Juliana Marques Gonçalves
3063;25/08/2025;;"EXPOSIÇÃO NO ESPAÇO CULTURAL DA ALEP´"" ARTE E INCLUSÃO"".";Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3062;13/08/2025;;MENÇÃO HONROSA A SENHORA ELCY TEREZINHA MUDREY.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3061;13/08/2025;;MENÇÃO HONROSA À ATLETA ALESSANDRA BARANCELLI, ATLETA SURDODESPORTO DE HANDEBOL.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3060;22/01/2026;;Requer e constituição de Grupo de Trabalho para elaboração de novo Termo de Colaboração SEED e as OSCs da Educação Especial;Requerimentos Externos;Secretaria de Estado da Educação - SEED;;Arapongas - PR;Em andamento;Juliana Marques Gonçalves
3059;20/03/2025;;Programa Paraná + Viagem;1º Setor;SETU - Secretaria de Estado de Turismo;;Figueira - PR;Atendido entregue;Maria Fatima
3058;08/08/2025;;MENÇÃO HONROSA AO SENHOR GUILHERME LUIZ GOMES, DESEMBARGADOR.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3057;08/08/2025;;MENÇÃO HONROSA AO INSTITUTO CAMINHOS DE DAVI.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3056;08/08/2025;;MENÇÃO HONROSA AO SENHOR MARCELO CISCATO.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3055;08/08/2025;;MENÇÃO HONROSA AO SENHOR JOÃO CARLOS PERUSSOLO.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3054;01/08/2025;;"MENÇÕES HONROSAS AOS HOMENAGEADOS NA ""SEMANA DA PESSOA COM DEFICIÊNCIA"", A SER ENTREGUE NO GRANDE EXPEDIENTYE DO DIA 19/08/2025";Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3053;29/07/2025;;MENÇÃO HONROSA AOS 25 ANOS DO RESTAURANTE DONA EVANI.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3052;24/07/2025;;MENÇÃO HONROSA AOS HOMENAGEADOS DO HOSPITAL VITA.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
3051;06/02/2026;;Solicitação de Recurso - Programa Escola Mais Bonita 5;1º Setor;Secretaria de Estado da Educação - SEED;;Rio Negro - PR;Recebida;"Felipe - "
3050;06/02/2026;;Custeio - Emenda Parlamentar;1º Setor;;;Palmas - PR;Recebida;"Felipe - "
3049;06/02/2026;;Custeio - Emenda Parlamentar;1º Setor;;;Palmas - PR;Recebida;"Felipe - "
3048;05/02/2026;;Recursos para APAE - 10 salas;1º Setor;Secretaria de Estado da Educação - SEED;;Barracão - PR;Recebida;"Felipe - "
3047;05/02/2026;;Olímpíadas das Apaes;1º Setor;Secretaria de Estado do Esporte - SEES;;Curitiba - PR;Atendido entregue;Maria Fatima
3046;05/02/2026;;REQUERIMENTO PARA SESSÃO SOLENE EM HOMENAGEM AOS 30 ANOS DO HOSPITAL VITA.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Arapongas - PR;Concluida/Entregue;Sylvana Zeballos
3045;21/07/2025;;MENÇÃO HONROSA AOS “50 ANOS DA APAE DE MARECHAL CÂNDIDO RONDON”, COM ENTREGA NO DIA 10 DE AGOSTO DE 2025.;Requerimentos Internos;ALEP - Assembleia Legislativa do Pr.;;Curitiba - PR;Concluida/Entregue;Sylvana Zeballos
